age,sex,race_ethnicity,household_income,n
60,1,5,below_median,1
60,2,1,above_median,1
60,2,1,below_median,1
60,2,2,above_median,1
60,2,2,below_median,1
60,2,3,above_median,1
60,2,3,below_median,1
60,2,4,above_median,1
60,2,4,below_median,1
60,2,5,above_median,1
60,2,5,below_median,1
61,1,1,above_median,1
61,1,1,below_median,1
61,1,2,above_median,1
61,1,2,below_median,1
61,1,3,above_median,1
61,1,3,below_median,1
61,1,4,above_median,1
61,1,4,below_median,1
61,1,5,above_median,1
61,1,5,below_median,1
61,2,1,above_median,1
61,2,1,below_median,1
61,2,2,above_median,1
61,2,2,below_median,1
61,2,3,above_median,1
61,2,3,below_median,1
61,2,4,above_median,1
61,2,4,below_median,1
61,2,5,above_median,1
61,2,5,below_median,1
62,1,1,above_median,1
62,1,1,below_median,1
62,1,2,above_median,1
62,1,2,below_median,1
62,1,3,above_median,1
62,1,3,below_median,1
62,1,4,above_median,1
62,1,4,below_median,1
62,1,5,above_median,1
62,1,5,below_median,1
62,2,1,above_median,1
62,2,1,below_median,1
62,2,2,above_median,1
62,2,2,below_median,1
62,2,3,above_median,1
62,2,3,below_median,1
62,2,4,above_median,1
62,2,4,below_median,1
62,2,5,above_median,1
62,2,5,below_median,1
63,1,1,above_median,1
63,1,1,below_median,1
63,1,2,above_median,1
63,1,2,below_median,1
63,1,3,above_median,1
63,1,3,below_median,1
63,1,4,above_median,1
63,1,4,below_median,1
63,1,5,above_median,1
63,1,5,below_median,1
63,2,1,above_median,1
63,2,1,below_median,1
63,2,2,above_median,1
63,2,2,below_median,1
63,2,3,above_median,1
63,2,3,below_median,1
63,2,4,above_median,1
63,2,4,below_median,1
63,2,5,above_median,1
63,2,5,below_median,1
64,1,1,above_median,1
64,1,1,below_median,1
64,1,2,above_median,1
64,1,2,below_median,1
64,1,3,above_median,1
64,1,3,below_median,1
64,1,4,above_median,1
64,1,4,below_median,1
64,1,5,above_median,1
64,1,5,below_median,1
64,2,1,above_median,1
64,2,1,below_median,1
64,2,2,above_median,1
64,2,2,below_median,1
64,2,3,above_median,1
64,2,3,below_median,1
64,2,4,above_median,1
64,2,4,below_median,1
64,2,5,above_median,1
64,2,5,below_median,1
65,1,1,above_median,1
65,1,1,below_median,1
65,1,2,above_median,1
65,1,2,below_median,1
65,1,3,above_median,1
65,1,3,below_median,1
65,1,4,above_median,1
65,1,4,below_median,1
65,1,5,above_median,1
65,1,5,below_median,1
65,2,1,above_median,1
65,2,1,below_median,1
65,2,2,above_median,1
65,2,2,below_median,1
65,2,3,above_median,1
65,2,3,below_median,1
65,2,4,above_median,1
65,2,4,below_median,1
65,2,5,above_median,1
65,2,5,below_median,1
66,1,1,above_median,1
66,1,1,below_median,1
66,1,2,above_median,1
66,1,2,below_median,1
66,1,3,above_median,1
66,1,3,below_median,1
66,1,4,above_median,1
66,1,4,below_median,1
66,1,5,above_median,1
66,1,5,below_median,1
66,2,1,above_median,1
66,2,1,below_median,1
66,2,2,above_median,1
66,2,2,below_median,1
66,2,3,above_median,1
66,2,3,below_median,1
66,2,4,above_median,1
66,2,4,below_median,1
66,2,5,above_median,1
66,2,5,below_median,1
67,1,1,above_median,1
67,1,1,below_median,1
67,1,2,above_median,1
67,1,2,below_median,1
67,1,3,above_median,1
67,1,3,below_median,1
67,1,4,above_median,1
67,1,4,below_median,1
67,1,5,above_median,1
67,1,5,below_median,1
67,2,1,above_median,1
67,2,1,below_median,1
67,2,2,above_median,1
67,2,2,below_median,1
67,2,3,above_median,1
67,2,3,below_median,1
67,2,4,above_median,1
67,2,4,below_median,1
67,2,5,above_median,1
67,2,5,below_median,1
68,1,1,above_median,1
68,1,1,below_median,1
68,1,2,above_median,1
68,1,2,below_median,1
68,1,3,above_median,1
68,1,3,below_median,1
68,1,4,above_median,1
68,1,4,below_median,1
68,1,5,above_median,1
68,1,5,below_median,1
68,2,1,above_median,1
68,2,1,below_median,1
68,2,2,above_median,1
68,2,2,below_median,1
68,2,3,above_median,1
68,2,3,below_median,1
68,2,4,above_median,1
68,2,4,below_median,1
68,2,5,above_median,1
68,2,5,below_median,1
69,1,1,above_median,1
69,1,1,below_median,1
69,1,2,above_median,1
69,1,2,below_median,1
69,1,3,above_median,1
69,1,3,below_median,1
69,1,4,above_median,1
69,1,4,below_median,1
69,1,5,above_median,1
69,1,5,below_median,1
69,2,1,above_median,1
69,2,1,below_median,1
69,2,2,above_median,1
69,2,2,below_median,1
69,2,3,above_median,1
69,2,3,below_median,1
69,2,4,above_median,1
69,2,4,below_median,1
69,2,5,above_median,1
69,2,5,below_median,1
70,1,1,above_median,1
70,1,1,below_median,1
70,1,2,above_median,1
70,1,2,below_median,1
70,1,3,above_median,1
70,1,3,below_median,1
70,1,4,above_median,1
70,1,4,below_median,1
70,1,5,above_median,1
70,1,5,below_median,1
70,2,1,above_median,1
70,2,1,below_median,1
70,2,2,above_median,1
70,2,2,below_median,1
70,2,3,above_median,1
70,2,3,below_median,1
70,2,4,above_median,1
70,2,4,below_median,1
70,2,5,above_median,1
70,2,5,below_median,1
71,1,1,above_median,1
71,1,1,below_median,1
71,1,2,above_median,1
71,1,2,below_median,1
71,1,3,above_median,1
71,1,3,below_median,1
71,1,4,above_median,1
71,1,4,below_median,1
71,1,5,above_median,1
71,1,5,below_median,1
71,2,1,above_median,1
71,2,1,below_median,1
71,2,2,above_median,1
71,2,2,below_median,1
71,2,3,above_median,1
71,2,3,below_median,1
71,2,4,above_median,1
71,2,4,below_median,1
71,2,5,above_median,1
71,2,5,below_median,1
72,1,1,above_median,1
72,1,1,below_median,1
72,1,2,above_median,1
72,1,2,below_median,1
72,1,3,above_median,1
72,1,3,below_median,1
72,1,4,above_median,1
72,1,4,below_median,1
72,1,5,above_median,1
72,1,5,below_median,1
72,2,1,above_median,1
72,2,1,below_median,1
72,2,2,above_median,1
72,2,2,below_median,1
72,2,3,above_median,1
72,2,3,below_median,1
72,2,4,above_median,1
72,2,4,below_median,1
72,2,5,above_median,1
72,2,5,below_median,1
73,1,1,above_median,1
73,1,1,below_median,1
73,1,2,above_median,1
73,1,2,below_median,1
73,1,3,above_median,1
73,1,3,below_median,1
73,1,4,above_median,1
